"Rkpc" "V" "Err"
1.4 45.1 24.7
2.8 81.6 17.5
6.4 90 24.8
7.9 97.8 9.4
9.1 103.1 23.8
10.9 109.2 9.4
13.4 112.4 11
14.2 112.3 9.4
16.5 111.4 24.3
17.5 110.9 7
0.6 12.4 8.6
1.1 21.9 6.2
1.9 37.9 6.2
2.6 53.1 9.5
3.4 68 6.2
4.3 82.3 6.2
4.8 85.7 6.3
5.9 89.5 15.6
8.5 95.2 15.5
9.5 97.5 6.2
11.2 101.1 10.2
0.2 12.4 7
0.7 37.5 4
1.2 56.5 4
2.1 69.1 4
3.1 85.5 7.5
3.4 87.1 8.4
4.3 105 4
4.9 111.6 6.7
5.5 116 4
6.5 124.2 4
8.4 134.6 4
10 140.1 4
14 143.9 5
0.4 35.7 9.1
1.4 83.3 9.3
2 94.2 10.4
2.7 97.6 9.1
3.7 101.4 9.1
4.5 105 16.7
5.4 106.2 9.1
6 107.9 11.5
7 110.4 23
7.8 112 19.7
8.7 113.2 9.1
10.3 114 9.1
11.6 114.4 9.1
14.4 114.2 11.2
0.1 1.1 11.1
0.4 10 7
0.8 17.4 9.6
1.1 23.5 11.2
1.4 31 5.2
2 40.9 5.9
2.3 44.8 4.5
2.8 51.7 12.7
3.1 55.7 4.5
3.7 62 4.5
4.3 66.6 6.9
5.3 72.3 15.5
5.5 73.4 6
6.3 77.1 12.1
7.2 80.3 13.5
9.3 84.7 6
14 86.9 5.6
0.2 10.7 4.9
0.7 24.7 4.9
1.2 38.9 4.9
3.6 55 4.9
4 57.2 4.9
4.6 59.8 4.9
5.6 64.4 4.9
6.2 67.2 4.9
6.7 69.9 4.9
0.7 42.2 5.3
2.1 89.8 6.6
3.4 110 7.7
5 128 10.4
6.3 130.4 5.2
7.7 132.5 9.3
9.1 141.7 10.2
11.9 145.3 7.1
0.06 3.1 4.2
0.14 7.7 4.2
0.23 12 4.2
0.31 15.7 9.1
0.34 17.3 4.9
0.4 20.2 11.2
0.44 21.5 6.3
0.51 24.3 4.2
0.54 25.3 4.2
0.6 27.7 4.2
0.7 31.6 4.2
0.89 38 4.2
0.97 39.8 4.2
0.3 3.1 4.5
1.4 15.7 8.5
2.4 28 10
3.2 36 11
3.9 43.6 4.5
4.6 49.8 4.5
6.3 61.5 4.5
7.5 68.1 12.2
9 73.4 12.2
10.9 77.6 11
21.8 78.9 11
0.4 13.1 6.8
1.2 68.2 33.8
3.1 194 16.7
8.8 171.5 8.1
10.2 170.2 10.7
11.1 170.1 6.8
12 170.9 6.8
13 171.8 12.1
15.1 173.6 19.6
0.4 18.5 4.4
1.3 65 9.3
2.2 91.4 4.4
3.1 105.5 4.4
4 115.9 12.4
4.9 121.7 4.4
5.7 129.7 4.4
6.6 137.2 4.4
7.3 142.1 5.5
8.4 148.1 4.4
10.2 151.9 4.4
11.9 152.2 4.4
0.3 3.4 6.7
0.9 14.5 7.3
1.6 27.5 6.7
2.2 38.2 8.9
2.9 45.1 6.7
3.5 51.7 6.7
4.2 58.7 6.7
4.8 65.2 6.7
5.4 72.3 6.7
6.2 80.4 6.7
0.07 2.1 4
0.22 7.7 4
0.36 13.8 5.3
0.54 21.4 12.1
0.7 26.7 4
0.8 28.7 4
0.95 30.4 4
1.24 33 4
1.35 34 4
1.51 35.6 5.6
0.4 19.7 7.4
1.1 54.7 5.8
1.8 81.5 5.2
2.5 99.3 4.5
3.2 106.4 4.5
3.9 113.4 5.8
4.7 121 12.2
5.3 124.4 4.5
6 126.1 4.5
6.8 127.5 11.8
7.4 129.9 4.6
8.5 135.6 13.4
9.6 142.8 8.2
0.2 16.7 11.3
0.7 45.4 9.1
1.2 64.7 4
1.6 71.7 4.4
2.1 74.8 10.1
2.3 75.7 8.8
3 82 4
3.5 86.9 4
4.1 93.9 5.8
4.3 94.8 4.6
4.9 99.3 9.3
5.6 103.4 4
5.8 104.6 5.9
6.1 105.7 4
6.6 108.1 6.2
7.8 114.7 4.7
8.7 120.1 4
9.6 125.6 8.2
10.5 130.7 6.3
11.1 134.7 4
11.8 138.6 4
12.7 144.6 4
0.4 30.2 19.6
1.1 98.4 29.6
1.8 184.5 15.5
2.5 225.1 14.5
3.2 234.2 4
4.6 246.6 6
5.3 250 5
6 247 15.7
6.4 245.1 14.6
7.4 242.2 7.5
8.9 239.6 11.4
9.5 238.4 12.4
10.3 236.5 10.2
11.7 231.3 4.9
13.8 225.1 4.08
15.9 226 4.08
18.6 233.9 11.5
21 246.5 7.3
0.9 35.1 12.1
1.5 56.6 10.8
1.8 68 11.2
2.6 86.9 4.3
3.2 96.4 4.3
3.8 105.9 6
4.6 122.3 11.3
5.2 131.7 4.3
5.3 133.4 7
6.1 141.5 4.3
6.4 143.7 13.9
7.2 148 11.1
8.4 153.1 11.6
8.9 154.7 4.2
11.7 152.6 11
1 76.9 36.3
3.1 166.8 19.1
5.7 209 46.4
6.5 212.8 6.6
9.3 240.1 10.5
11.5 245.4 59.1
21.2 272.7 8.8
29.2 262.8 33.2
1.4 14.5 4
1.6 16.6 4
2.7 24.7 4
3.8 31.9 6.4
5 40.1 8.3
6.4 48.9 5.8
7.4 54.7 4
7.8 56.9 18.2
8.9 61.3 4.7
0.1 2.1 4.2
0.36 7.5 4.2
0.66 13.4 5.8
0.95 19 4.2
1.24 22 4.2
1.46 22.1 4.2
1.68 21.5 4.2
1.83 21.6 4.2
1.97 21.7 4.2
2.27 22.1 4.6
2.57 23.2 4.7
2.95 24.1 7
3.23 24.8 7.9
3.5 25.4 6.5
0.62 18.4 4.7
0.8 21.8 4.7
0.94 23.8 4.7
1.13 26.2 4.7
1.31 28.3 4.7
1.51 30.4 4.7
1.72 33 4.7
1.91 35.2 5.5
2.18 37.8 4.7
2.72 39.9 4.7
3.04 39.9 4.7
0.29 17.8 16.3
0.87 48.2 6.2
1.43 70.6 17.5
2.04 84 6.5
2.62 90.3 6.9
3.32 95.2 9.5
3.7 98.3 7.5
5.18 112.5 6.2
6.12 116.2 6.2
7.16 115.7 6.2
7.86 115.4 6.2
8.27 116 6.8
9.06 117.3 15.7
9.44 117.4 6.2
11.65 118 6.2
0.2 5.9 12
0.7 19.6 12
1.4 36.3 12
2.24 52.6 4.8
3.62 70.7 16.6
4.35 75.9 15.4
5.26 79.7 13.2
5.96 81.7 15.1
7.7 84 12.1
10 86.3 12.4
10.95 86 13.2
0.41 11 13.3
0.45 11.9 13.8
0.59 15 7.1
0.86 19.5 3.8
1.11 23 12.5
1.21 24.3 8.3
1.44 27.3 6.8
1.6 29.4 13.1
2.2 35.9 5
3.21 47.1 12.9
3.4 49.1 17.5
3.58 51.1 7
3.84 53.4 16.5
4.12 54.5 5
4.42 54.6 14.6
4.81 54 13.9
0.4 21.8 20.9
4.9 90.4 18.9
5.4 94.8 30.8
8.9 115.5 62.4
9.8 121.7 7.2
10.6 129.1 18.6
12.1 134.4 18.7
14.4 144.5 18
0.02 0.96 8.1
0.75 30.4 11.7
0.96 37.8 28.2
1.31 48.9 4.5
2.4 69.5 6.5
2.9 74.9 12.7
3.15 78 13.6
3.73 84.2 4.5
4.77 92.4 9.6
5.29 95 4.5
6 97.1 21.7
